Label,Authority,Hub
Taiwan Fugue,0.245268,0.034915
我是台灣人 (I am Taiwanese),0.194027,0.014061
白色正義聯盟,0.172589,0.011077
nagee,0.170947,0.018321
綠黨,0.166116,0.051066
挺馬英九聯盟,0.164113,0
呂欣潔 Jennifer Lu,0.161191,0.018419
民主鬥陣 Democracy Tautin,0.158304,0
藍白拖的逆襲,0.155271,0
社會民主黨,0.154146,0.038889
反馬英九聯盟,0.151556,0
公民1985行動聯盟,0.150381,0.010407
苗博雅 MiaoPoya,0.146762,0.025076
柯建銘,0.14331,0.013607
台灣新力量/羅致政粉絲團,0.142004,0
基進黨（基進側翼）,0.138351,0
馬躍．比吼 Mayaw Biho,0.13537,0.00596
我是新竹人,0.134258,0
樹黨,0.133436,0.003895
大安推范雲,0.128184,0
捍衛苗栗青年聯盟,0.127363,0
台灣勞工陣線協會,0.12508,0.003244
